" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
این گوشی اگر کاربر معمولی باشی نسبت به قیمتش خوبه مشکلات نرم افزاری داره از جمله اینکه نمیتوانید اندرودتان رو از ۷٫۱۱ تغییر دهید گول تبلیغات رو نخورید من با چهار خط متفاوت با نت های فورجی و ۳ وای فای پرسرعت کافینت ها امتحان کردم از چند کمر شکن هم استفاده کردم حتی از با استفاده از برنامه پشتیبانی انگلیسی نوکیا هم موفق نشدم ,کاربر معمولی,neutral,"['laştır undرود: Negative', 'نمیتmancy: Negative', 'تبلیغات: Negative', 'نت ""\( فورجی"": Negative', 'ای فای پرسرعت: Negative', ' Caffeine: Negative', 'برنامه پشتیبانی: Negative']"
این گوشی اینقد خوش دست هست که براحتی شما رو وادار میکنه هر سال منتظر بمونین تا نسخه جدیدش بیاد و اون رو بخرید. ال جی نسخه ۲۰۱۸ ش رو معرفس کرده و امیدوارم زودتر وارد بازار بشه. بنظرم ارزش داره صبر کنید و اون رو بخرین چون نقطه ضعفای این گوشی رو تا حد خوبی کمرنگ کرده. ,این گوشی,negative,"['دست: Positive', 'نسخه: Negative', 'قمرنگ: Positive']"
این گوشی با این قیمت خیلی خوب نیست ولی خیلی بدم نیست  مثلا با بعضی گوشیا نمیشه مقایسش کرد ولی با بعضیا میشه مثلا j۵ ۲۰۱۶ قیمتش بالا تر از اینه ولی قابلیت های این خیلی بهتره ,"این قیمت, j۵ ۲۰۱۶","negative, negative","['قیمت: Negative', 'قابلیت‌ها: Positive']"
این گوشی با حدود قیمت فعلی آن یک خرید مناسب است. بعضی ها را اگر بنز هم بدین دستشون یکماه پرایدش کردن. گوشی مواظبت میخواهد، مگه میشه از گوشی به اندازه یک لپ تاپ کار کشید ولی مشکل باتری صفحه نمایش و و … پیدا نکنه اسباب بازی که نیست ,باتری صفحه نمایش,neutral,"['قیمت: Positive', 'باتری: Negative', ' صفحه نمایش: Negative', ' Design: Positive']"
این گوشی با حدود قیمت فعلی آن یک خرید مناسب است. بعضی ها را اگر بنز هم بدین دستشون یکماه پرایدش کردن. گوشی مواظبت میخواهد، مگه میشه از گوشی به اندازه یک لپ تاپ کار کشید ولی مشکل باتری و صفحه نمایش و … پیدا نکنه اسباب بازی که نیست ,این گوشی,positive,"['قیمت: Positive', 'دست mW: Negative', 'باتری: Negative', 'صفحه نمایش: Negative']"
این گوشی با وجود دوربینای خوبی که داره در کل ایراداتی هم داره مثل کم بودن حافظه ی داخلی و باتری ۲۷۰۰میلی آمپری که با وجود پردازنده ی پر مصرف helio خیلی کم به نظر میرسه البته اگه قیمت این مدل یکم پایین بیاد عاقلانه تر به نظر میرسه ,"دوربینای, حافظه ی داخلی, قیمت, باتری","positive, negative, negative, negative","['دetary: Positive', 'حافظه: Negative', 'باتری: Negative']"
این گوشی بازی آسفالت رو به راحتی اجرا کرد برای آپدیت برنامه ها هی قطع ارتباط میزنه حتی برای برنامه های داخل سیستم نسبت به گوش های دیگه چون اندرویدش خالصه منو و گزینه برای کارها خیلی محدوده مثلا انتخاب همه شماره تو دفتر تلفن وجود نداره و …. باتریش در حالت آماده به کار بدون دست زدن بهش یه رو دووم داره در حالت صفحه روشن حدود ۶ تا ۷ ساعت از دیجی کالا انتظار نداشتم گوشی دو ماه گذشته از گارانتی تحویل بده. گارانتیش بعد از خرید فعال شدنی نیست زمانش اجباری من ۲۶ آبان۹۶ خریدم داخل جعبه یه کارت گارانتی بود که از ۶ مهر ۹۶ تا ۶ مهر ۹۷ زده یعنی گارانتی یه ساله برای من شد ۱۰ ماه واقعا که …. از اون گارانت هایی نیست که شماره سریال گوشی رو ارسال کنی بعد فعال یشه ,گارانتیش,negative,"['برنامه ها: Negative', 'گ gráش: Negative', 'باتری: Negative', 'carpusور: Positive']"
این گوشی بدی نیست تو ابن رنج جز خوبهای بازاره خوبیش دوربینشه پشت که خوبه جلو شبها یکمبده جنس بدنه خوبه و لیز نمیخوره اسپیکر بد جایی نیست اما صداشم متوسطه جالبه تو ۱ سایت خوندم زده بود جز پایین ردهها! فکر کنم اون سایته به s۷ بگه میان رده به j۲ بگه اسباب بازی!!!! ,صداشم,neutral,"['رنج: Positive', '.""), دوربین: Positive', 'جس بدنه: Negative', 'اسپیکر: Negative', 'صدای: Negative']"
این گوشی بسیار خوب طراحی شده و مسلما ایراداتش رفع شده و قابلیت های دیگری به آن اضافه شده، ولی اگر بیشتر دقت کنید میبینید که ظرفیت باتری آن کم است و ممکن است سرنوشت این گوشی شبیه Huawei Honor ۴c دچار شود، کدام سرنوشت؟!، این گوشی به دلیل داشتن سخت افزار قوی و در عین حال پر مصرف زود باتری خالی میکند و شما را حتما دلسرد خواهد کرد، با این که سیستم عامل LG K۱۰ ۲۰۱۷ به خوبی طراحی شده تا مصرف انرژی آن بهینه تر باشد و باتری به خوبی مدیریت شود نهایتا ۵ ساعت بیشتر شارژ نگه خواهد داشت ولی در کل گوشی خوبیه ,"Huawei Honor ۴c, ظرفیت باتری","negative, negative","[' 디자인: Positive', 'م무رات: Positive', 'ظ HARDست Xinjiang: Negative', 'باتری: Negative', 'سیستم عامل: Positive']"
این گوشی بسیار شیک و خوش دسته. سنسور اثر انگشت سریع، بدنه با کیفیت، صفحه نمایش واضح و اندازه مناسبی داره. قابش لیز نیست و صفحه نمایش گوریلا گلس نیازی به محافظ نداره. شیار سیم کارتها و کارت حافظه از هم جدا هستن. سخت افزار متوسط که در نقد گوشی توسط دیجی کالا به عنوان نقطه ضعف عنوان شده بنظرم اصلا به چشم نیومد. تنها ایراد واقعی این گوشی به نظر من دوربین هست. کیفیت هر دو دوربین نظر من رو جلب نکرد و عکس های تاری ثبت کرد. احتمالا مدلهای بالاتر نوکیا دوربینهای بهتری دارن. در کل من نوکیا رو دوست دارم و از خریدم راضی ام. ,"کیفیت هر دو دوربین, سخت افزار","negative, neutral","['شیک: Positive', 'دستandle: Positive', 'سنسور اثر انگشت: Positive', 'بدنه: Positive', 'صفحه نمایش: Positive', 'اندازه: Positive', 'سیم کارتها: Negative', 'کارت حافظه: Negative', 'سخت افزار: Negative', 'دوربین: Negative']"
این گوشی بسیار عالی و طراحی زیبایی داره تو اجرای نرم افزار کم نمیاره دوربینش عالیه فقط کاشک دوربین سلفیش هم فلش داشت ولی موردی نیست انقدر خوبی داره که این مشکل توش گمه خلاصه نصبت به قیمت گوشی بسیار خوبیه هرکی میخواد بخره معطل نکنه بره بگیره تاچ قوی نگهداری شارژ بالا دوربین ۱۳میگاپیکسلی و سبک و بدون داغ کردن موقع استفاده این گوشی معرکه است ,"گوشی, دوربین, تاچ, دوربینش, طراحی, قیمت, دوربین سلفیش, گوشی","positive, positive, positive, positive, positive, positive, negative, positive","['برنامه‌رسانی: Positive', 'jarati: Positive', 'وب er: Negative', 'سلفی: Negative', ' cytotoxicity: Positive', 'سایز: Positive']"
این گوشی بسیار مناسب و قیمت مناسبی هم دارد دوربینشم عالیه. ولی یکم داغ میکند اون هم ک زیاد جدی نیست و کمه ,"گوشی, قیمت, دوربینشم","positive, positive, positive","['ensity: Positive', 'وبراگر: Positive', 'داغ: Negative']"
این گوشی به نسبت قیمت حرفی برای گفتن نداره، از همه نظر عالیه فقط از عزیزان خواهش دارم کسانی که نقد میکنن امتیاز هم درست بدن، چون امتیاز این گوشی باید بیشتر از این حرف ها باشه ,قیمت,positive,"['قیمت: Negative', ' Quality: Positive', 'Features: Negative']"
این گوشی به نسبت قیمتش خیلی عالیه و دارای ظاهری زیبا است من پیشنهاد میکنم این گوشی رو بخرید کیفیت صفحه گوشی هم خیلی پایین نیست کیفیت متوسطی دارد ,کیفیت صفحه گوشی,neutral,"['قیمت: Negative', 'ظاهری: Positive', 'صفحه: Average']"
این گوشی به نسبت پولش بینظیره و صفحه بزرگ و تاچ عالی توصیه میکنم بخرید من آیفون ۷پلاس دارم خداییش کاراییش کمتر از اون نیست ,"تاچ, این گوشی, آیفون ۷پلاس, صفحه","positive, positive, neutral, positive","['برنامه: Positive', 'écran: Positive', 'تاچ: Positive']"
این گوشی به نظر من بهترین هستش ,این گوشی,positive,['برنامه‌yoruz: Positive']
این گوشی به نظرم همه چیش خوبه اما فقط یک عیب بزرگ داره که اونم به نظر من. چون هر کس یک چیزی براش از همه مهمتره منم دوربین سلفی برام خیلی مهم بود برای همین به یک هفته نکشید فروختم گوشی رو چون همان طور که گفتم نفر اول رو خوب میندازه بقیه رو تار میندازه انگاری روی اولین نفر فوکوس می کنه بقیه رو بیخیال میشه واقعا ناامید کننده ست برای گوشی ای به این قیمت. البته اینم بگم در بقیه موارد همه چیزش خوبه اگه میتونید با این قضیه کنار بیاید بهترین گوشی می تونه براتون باشه ,"دوربین سلفی, این گوشی","negative, positive","['دurator سلفی: Negative', 'تصнівер: Positive']"
این گوشی تصمیم دارم حتما بخرم واقعا عالیه مشخصاتش که فوقل عادست …. دوستم هم داره میگه واقعا راضیه …فقط کاش یکم پیکسل دوربینش بالا تر بود …. عالی تر از همچی اینکه۴g میخونه این عالیه ,دوربینش,negative,"['ظ ...' : Positive', 'ormick: Positive', 'دوربین: Positive', '픽سل: Negative']"
این گوشی تو این بازه قیمتی واقعا عالیه صفحه نمایش هم اصلا ضعیف نیست کسایی که ندید فقط به خاطر رزولوشن میگن صفحش بده لطفا نظر ندن تا ملت پشیمون و سردرگم نشن من این گوشی رو واسه یکی از فامیلا خریدم واقعا تو هیچی کم نداره و نیاز یه فرد رو که زیاد اهل بازی نیست و یه گوشی متوسط با قیمت پایین میخواد رو رفع میکنه ,گوشی,neutral,"['قیم: Positive', 'صفحه نمایش: Positive', 'رزولوشن: Negative']"
این گوشی تو این رنج قیمت عالیه بعضیا هی ایراد میگیرن هی میگن اینجوریه اونجوریه آخه شما تو این رنج قیمت دیگه چی میخواین واقعا این گوشی عالیه و من این گوشی رو با این قیمت پیشنهاد میکنم … ,گوشی,positive,"['قیمت: Positive', ' Quality: Positive', 'Battery: Negative']"
این گوشی خوب میباشد اما با نداشتن چند قابلیت کوچک من را از خرید او نا امید کرد ,این گوشی,negative,"['برنامه: Positive', ' Performance: Positive', ' Facilities: Negative']"
این گوشی خوبیه ولی یه ایرادی که داره اینه که گزینه ویبره برای لمس دکمه های (back. home. و غیره نداره) یعنی زمانی که شما میخواین صفحه ایی رو بک کنید ویبره لمسیش کار نمیکنه واصلا تو ستینگشم گزینه ایی بنام vibre on touch نداره. ,گوشی,positive,"['م Button: Negative', 'ستینگ: Negative']"
این گوشی خیلی از گوشی های سامسونگ جی ۷ پرایم خیلی بهتر و زیبا تره فقط بدی سونی اینه که در بازی ها کمی ضعیفه ,"سونی, گوشی","negative, positive","[' Design: Positive', 'Appearance: Positive', 'Performance: Negative']"
این گوشی خیلی تاچش ظعیف هست من خودم مبایل ساز هستم این تفاوتی که داره اگر گلس هم روش باشه خیلی راحت تر از همه ی گوشی ها میشکنه هر جور خود تونه سلاح میدونید ,تاچش,negative,"['ظعیف: Negative', 'گلس: Positive', ' selbst: Positive']"
این گوشی خیلی خوبه تنها ایرادی که میشه ازش گرفت اینه که پشت گوشی درحد مدل ۲۰۱۶ زیبا نیست ولی خوش دست شده، از لحاظ سخت افزاری کم نمیاره عالیه. دوربینش بعضی از دوستان گفتن مشکل داره ولی بعد یه ماه کار با گوشی ایرادی ازش نمیتونم بگیرم مخصوصا بعداز اینکه اندروید۷براش اومد خیلی باحال تر شده ,"این گوشی, سخت افزاری, دوربینش","positive, positive, positive","['برنامه‌افزار: Negative', 'بدنه: Positive', 'ornalیم: Positive', 'باتری: Negative']"
"این گوشی خیلی زیبا طراحی شده دارای سخت افزار قدرتمندی است و بدنه فلزی مستحکمی دارد باطری آن حداقل دو روز شارژ دارد شاید نقاط ضعف آن صدای نه چندان بلند اسپیکر و مشکل آنتن دهی با همراه اول را می توان عنوان کرد. در چند مورد دوستان در خصوص کیفیت پایین پایین صفحه نمایش صحبت کردند که باید گفت مبنای مقایسه چیست اگر با S۶,۷مقایسه میکنید بله حق با شماست اما اگر با J۷۲۰۱۵,۲۰۱۶مقایسه می کنید کاملا برتری با مدل پرایم است. ","باطری, سخت افزار, طراحی, طراحی, بدنه, اسپیکر, آنتن دهی","positive, positive, positive, positive, positive, negative, negative","['سپردور: Positive', ' بدنه: Positive', 'باتری: Negative', 'صوت: Negative', 'انتن: Negative', ' صفحсторія نمایش: Negative']"
این گوشی خیلی عالیه من تقریبا دوهفته است که خریدمش توش بازی جی تی ای سن اندریسن ریخم وایس سیتی رو ریختم اسفالت هشت ریختم پی اس ۲۰۱۸ ریختم نیت فور اسپیدم ریختم اصلا نه پرید بیرون نه هنگ کرد این گوشی عالیه اگه ۲۰۱۸ هم بیاد اینو میفروشم ۲۰۱۸ میگیرم البته درست لوازم جانبیش خیلی. کمه ولی ظاهر مهم نیست باطن گوشیه که باید قوی باشه که این قویه دوستام میگفتن a۵ بگیر من به اونا میگفتم پول علف خرس نیست که من الکی خرجش کنم بعد که اینو گرفتم مسخرم میکردن یه روز با هاشون کل انداختم این نوکیا ابروی من خرید حال هم شون گرفت حال کردم دهنشو بسته شد ,"این نوکیا, این گوشی","positive, positive","['برنامه: Positive', ' Design: Positive', 'ensity صدا: Negative', 'باتری: Negative']"
این گوشی خیلی گوشی خوییه بدون شک گوشی خوبیه اونایی که میگن گوشی بدیه این گوشی ندارن یک گوشی دیگه دارن بعد هر کسی میخواد بگه گوشی من خوبه برای همین. ولی در کل هم دوربین بالا و هم رم خوب و باتری قوی و هم قابلیت۱۰لمس همزمان بلند گوهای قوی وفقط اندروید۶که اونم با بروزرسانیش ۷میشه در کل گوشیه ی خوبیه ,"گوشیه, باتری, رم, دوربین, گوشی, بلند گوهای","positive, positive, positive, positive, positive, positive","['خوییه: Positive', ' Quality: Positive', 'Camera: Positive', 'Battery: Negative', 'Sensors: Positive']"
این گوشی خیلی گوشیه خوبیه اول باید یاد بگیریم که هر گوشی ای یه قابلیتایی داره و نباید اونو با یه گوشی رده بالاترش مقایسه کرد. این گوشی به نظر من این که صفحه اش LCD اونم از نوع TFT است یه امتیاز است چون برادر من که J۵ (۲۰۱۵) و مادرم J۷ (۲۰۱۶) و پدرم هم J۷ Pro (۲۰۱۷) داره که همشون صفحه شون اولده و من از کارکردن با همه ی اینها فهمیدم کهLCD اصلا چشمو خسته نمیکنه چون نورش ضعیفتر و کم نورتره ,گوشی,positive,"['نمیر: Negative', ' صفحه: Positive']"
این گوشی خیلی گوشیه خوبیه اگه کسی اس۷دلش می خواد ولی پولش کمه حتما این گوشی رو بخرید چیزی ازs۷کم نداره. ,این گوشی,positive,"['گوشění: Positive', ' Design: Positive', 'Price: Negative']"
این گوشی دارای کیفیت متوسط و ساخت چین است ,"کیفیت, چین","neutral, neutral","['qualität: Negative', 'ساخت: Negative']"
این گوشی در این رنج قیمت گوشی به صرفه ای نیست شما میتونید تو همین رنج قیمت Huawei p۱۰ lite بخرید که خییلی از این سر تره خودتون یه مقایسه کنید میفهمید.. و سعی کنید هیچ وقت تعصبی قضاوت نکنید و منطقی فکر کنید خییلی هنوز نظر بدی نسبت به شرکت Huawei دارن ولی اگه بخواییم منطقی فکر کنیم میبینیم شرکت Huawei پیشرفت خییلی خوبه کرده و نسبت بعضی از مدل های سامسونگ برتری خییلی زیادی داره ولی چون مردم نسبت به Huawei نظر بدی دارن نمیتونن منطقی فکر کنن.. در کل مارک سامسونگ مارک معتبریه و در خوبیش شکی نیس ومن خواستم تو این رنج قیمت فقط یه مقایسه کنم با تشکر ,قیمت,negative,"['رینج قیمت: Negative', 'Huawei P۱۰ Lite: Positive', 'برتری: Positive', 'نامرور: Negative']"
این گوشی در رنج قیمت خودش عالیه و حرف نداره ,این گوشی,positive,"['قیمت: Negative', 'حرف: Neutral']"
این گوشی در مقابل هم رقیباش تو این قیمت عااااااالیه مخصوصا سی پی یو قوی و دوربین محشرش، حسگر اثر انگشت هم عالیه و خیلی سریع عمل میکنه خلاصه از هر نظر عاااااالیه حتما پیشنهاد میکنم … ,"این گوشی, سی پی یو, حسگر اثر انگشت, دوربین","positive, positive, positive, positive","['سی پی یو: Positive', 'د befindet: Positive', 'حسگر اثر انگشت: Positive']"
این گوشی در کل گوشی خوبیه اما این گوشی در بین گوشی های سامسونگ ضعیف ترین صفحه نمایش رو داره. ,"گوشی, صفحه نمایش","positive, negative",[' صفحه نمایش: Negative']
این گوشی در کل گوشی عالی است. فقط مشکلی که بنده دارم این است که شیشه صفحه گوشی شکسته و هنوز هم وارد ایران نشده است که حدودا تا دوماه آینده ۱۰۰ درصد وارد میشود. ,"گوشی, صفحه","positive, negative","['شیشه صفحه: Negative', ' Voltsایی: Positive']"
این گوشی درسته تی اف تی هست ولی خیلی با کیفیته پردازنده قوی داره قیمت مناسب دوربین قوی و حافظه داخل زیاد دکل خیلی خوبه ممنون از دی جی کالا ,"پردازنده, حافظه, گوشی","positive, positive, positive","['تی اف تی: Positive', ' کیفیته پردازنده: Positive', ' Cameras: Positive', 'حافظه: Positive']"
این گوشی دوربین خیلی خوبی داره چه جلو و چه عقب دوستانی هم که میگن دوربین جلوانقدر کیفیتش پائینه که منظره های پشت رو تار میکنه این بخاطره فوکوس که دور و پشت سر رو تار میکنه و شما می تونید با نرم افزار های عکاسی عکس بندازید و تا حدودی فوکوس رو کم کنید ولی گوشی باتری و صفحه نمایش خوبی داره و در کل راضی کننده است ,"باتری و صفحه نمایش, دوربین","positive, positive","['جلوگیری: Negative', 'arrière Pradesh: Negative', 'باتری: Positive', ' صفحه نمایش: Positive']"
این گوشی دوربین فوق العاده باتری بسیار قوی که یه روز نیم براتون نگه می داره طراحی بسیار زیبا سرعت بالا داره ولی تنها نقط ضعف این گوشی سخت افزار ضعیف هستش که بازی سنگین اصلا نمیتونه اجرا کنه ولی برای کارهای سبک بسیار مناسب هستش ,"طراحی, سرعت, دوربین, سخت افزار","positive, positive, positive, negative","['باتری: Positive', 'سرعت: Positive', 'برنامه‌نویسی: Negative']"
این گوشی دومین گوشی هوشمند که تجربه کردم پیش از این سونی زد وان کامپکت داشتم یکی از دلایل اصلی برای من کوچک بودن ابعاد گوشی بود و در میان موبایلهای موجود در بازار ایفون اس ایی و فایو کوچکترین اندازه و در عین حال مشخصات سخت افزاری خوب و قوی ای داشت الان چند ماهیه که از دیجی کالا خرید کردم کاملا برتری این گوشی رو نسبت به موبایل قبلی که داشتم حس کردم به جز چهار مورد نقل و انتقال سخت فایلها به گوشی و بالعکس کیفیت دوربین متوسط (در مقایسه با دوربین ۲۰٫۷ مگاپیکسلی سونی زد وان کامپکت) کیفیت پایین دوربین سلفی و همچنین کمبود نرم افزارهای مخصوص ای او اس هیچ کمبودی نداره انتن دهی عالی باطری فوق العاده شارژ سریع عکاسی در شب و نور کم بسیار خوب امنیت قوی و خیلی چیزهای دیگه ,کیفیت دوربین,neutral,"['ابعاد: Negative', 'ormick hardware: Positive', 'نقل و انتقال: Negative', ' chloroform: Negative', 'قamera: Negative', 'نرم افزار: Negative', 'انتن: Positive', 'باتری: Positive']"
این گوشی دیروز به دستم رسید، در مقایسه با گوشی قبلیم که g۲ mini بود lg یکمی رابط کاربری شو سخت تر کرده بود که البته با دو ساعت ور رفتن بهش میشه باهاش راه اومد بقیه چیزای گوشی خوبه فقط کاش مدل دارای حسگر اثر انگشتش وارد ایران می شد ,رابط کاربری,negative,"[' کاربری: Negative', 'حساسگر اثر انگشت: Positive']"
این گوشی را برای خواهرزاده ام خریدم بعد از مدتی حدود ۳ماه گلایه داشت و راضی نبود توی این رنج قیمت برند هوآوی گوشیهای به مراتب بهتر و با قیمت خیلی مناسبتر داره.. شخصا خریدش را توصیه نمیکنم ,قیمت,negative,"['برند: Negative', 'قیمت: Positive', ' گلایه: Negative', ' Performance: Positive']"
این گوشی رو اواخر مهر ماه خریداری کردم در درجه اول بنا بر تجربه شخصی خودم در استفاده از این محصول خرید اون رو به علاقمندان پیشنهاد میکنم اما به این نکته هم اشاره میکنم که اگر دوست دارید با گوشی خود بازیهای سنگین و چند ساعته را انجام دهید این گوشی گزینه چندان مناسبی نیست نه در ابتدا بعد از اضافه شدن دادههای ان بازی و بالاتر رفتن حجم ان با مشکل خروج از بازی مواجه خواهید شد البته تاکید میکنم که بازیهای سنگین در ضمن اندروید این گوشی به ۶ ارتقاء پیدا کرده و شاید این ارتقاء دلیلی بر این اتفاق باشد برخلاف نظر بعضی از دوستان کیفیت دوربین ان خوب است اگر یک مقایسه بین این محصول و بسیاری دیگر از محصولات هواوی و سایر برندها داشته باشید این گوشی با قیمت متوسط خودش بسیاری از فاکتورهای گوشیهای گرانتر را دارد از کیفیت صفحه نمایش گرفته تا دوربین و سخت افزار و حسگر اثرانگشت و … ,قیمت,neutral,"['نمایش: Positive', 'دوربین: Positive', 'باتری: Negative', 'ensity بازی: Negative', ' Cameras: Positive']"
این گوشی رو به شما پیشنهاد میکنم چون کیفیت صفحه عالیه تاچ عالی ولی یه ذره داغ میکنه و باتریش متوسطه و به درد بازی سنگین نمیخوره و برای بازی باید کنار شارژر باشین و همینطور روشن کردن دیتا ولی وای فای مشکلی نداره وشارژ رو خوب نگه میداره ولی کیفیت بازی روش عالیه ,باتریش,neutral,"[' pageNumber: Positive', 'Touch: Positive', 'Heat: Negative', 'Battery: Negative', 'Gameplay: Positive', 'Charging: Positive', 'Data Brightness: Positive', 'Camera: Positive']"
این گوشی رو حدود ۲ ماه هست که دارم کیفیت ساختش فک نمیکردم اینقدر خوب باشه واقعا تو دست که میاد حس یک گوشی بالا رده رو به ادم میده صفحه نمایش خیلی با کیفیتی داره به لطف پنل ای پی اس و زوایای دید خیلی خوبی داره دوربین جلوی خیلی خوبی داره البته فقط تو نور کافی مناسبه تو تاریکی افتضاحه دوربین اصلی هم توی نور روز واقعا خوب هست تو نور متوسط هم به لطف فلش ال ای دی خوب عکس میگیره توی شب هم نویز داره عکساش سخت افزار عالی داره توی این رنج قیمت (البته واقعا به پای گوشیهای شیائومی نمیرسه مثلا با همین قیمت گ xiaomi redmi note ۴ بنچمارک انتوتو ۸۲۰۰۰ میده بهتون ولی این گوشی ۵۲۰۰۰ میده با توجه به سخت افزار پایینتر) ۱۶ گیگ داخلی برای نرم افزارهای روزمره و بازیهای اچ دی کم حجمتر کار راه بندازه البته قابلیت انتقال به اس دی هم داره ۲ گیگابایت رم هم همش ۹۰۰ مگابایت خالی هست و۱٫۱ گیگبایات دیگه اشغال شده توسط سیستم عامل هست صدای میکروفون اون برای مکالمه و ظبط خیلی خوب است صدای اسپیکر اون گرفته هست و وقتی صدا رو خیلی زیاد کنید دچار نویز میشه و کیفیت متوسطی دارد کیفیت تاچ بسیار مناسبی دارد از سیم کارت دوم هم به عنوان sd کارت میشه استفاده کرد (البته فقط یک کدومشون) باطریش هم برای کارکرد در یک روز بسای عالی هست سنسور اثرانگشت بسیار پرست و دقیقی دارد ,صدای اسپیکر,neutral,"[' Quality of construction: Positive', ' Display quality: Positive', ' Front camera: Positive', ' Main camera in bright light: Positive', ' Main camera in low light: Positive', ' Flash: Positive', ' Internal storage: Positive', ' RAM: Positive', ' Available space: Negative', ' Microphone: Positive', ' Speaker: Negative', ' Touch sensitivity: Positive', ' SIM card slot: Positive', ' Battery life: Negative', ' Fingerprint sensor: Positive']"
