sentence,aspect,polarity,LLM_aspect
این گوشی رو داداشم خریده واقعا همچیش عالیه کیفیت صفحه نمایش واقعا عالیه چون تمام رنگها رو طبیعی نشون میده مثل آملد غیر واقعی نیست تمام بازیهارو بدون لگ میاره و باطریشم عالیه در کل تا یک تومن بهترین انتخابه ,"باطریشم, صفحه نمایش, گوشی","positive, positive, positive","['گوشی: Positive', 'صفحه نمایش: Positive', 'رنگها: Positive', 'بازیهارو: Neutral', 'باطریشم: Positive']"
این گوشی رو دو ماه داشتم و بعد با V۱۰ معاوضش کردم. گوشی از همه لحاظ عالیه فقط تنها مشکلش صفحه نمایش سوپر آمولدش هست که به شدت به چشم فشار میاره. مثلا من نیم ساعت باهاش کار میکردم بعد که خودمو تو اینه میدیدم چشمام قرمز شده و پشت سرم احساس میکردم میخواد منفجر بشه. وگرنه باقی چیزاش عالی بود ,"این گوشی, V۱۰, صفحه نمایش","positive, neutral, negative","['گوشی: Positive', 'صفحه نمایش سوپر آمولدش: Negative']"
این گوشی رو دوهفتس خریدم خیلی خوبه برنامه هارو راحت اجرا میکنه دوربین قوی رام بالایی هم داره من پیشنهاد میکنم ,"دوربین, رام","positive, positive","['گوشی: Positive', 'پروگرام ها: Positive', 'دوربین قوی: Positive', 'رام بالایی: Positive']"
این گوشی رو دوهفتس خریدم خیلی خوبه برنامه هارو راحت اجرا میکنه قوی رام بالایی هم داره من پیشنهاد میکنم ,این گوشی,positive,"['گوشی: Positive', 'برنامه هارو اجرا میکنه: Positive', 'رام بالایی داره: Positive']"
این گوشی رو سه ماهه که دارم و ازش بسیار راضی ام ظاهری خیره کننده داره بهترین گوشی در این رده قیمتی بود ,این گوشی,positive,"[گوشی: Positive, ظاهری: Positive, قیمت: Positive]"
این گوشی رو شیش ماهی میشه پدرم داره میخواستم نتیجه رو بگم دوستانی که میخوان بگیرن این گوشی از نظر قدرت سخت افزاری فوق العاده است نسبت به قیمت ینی در حد باورنکردنی باتری گوشی اذیت نمیکنه … فقط صفحه نمایش گوشی واقعا ضعیفه ولی اگر براتون مهم سخت افزاره صددرصد پیشنهاد میکنم کیفیت دوربین راضی کننده صدا و اسپیکر راضی کننده موفق باشید ,"سخت افزاری, صفحه نمایش, صدا, اسپیکر, دوربین","positive, negative, neutral, neutral, neutral","['گوشی: Positive', 'قدرت سخت افزاری: Positive', 'قیمت: Positive', 'باتری: Neutral', 'صفحه نمایش: Negative', 'دوربین: Positive', 'صدا و اسپیکر: Positive']"
این گوشی رو مادرم برام هدیه گرفت من قبلش فقط ھوآوی داشتم اپل باز هم نیستم کلی هم هوآوی داشتم چون واقعا برند خوبیه اندازه پولی که میدی بیشتر کارایی میگیری اگر بخوام بررسی خودمو تو چند روزی که گوشی دستم بود رو بدونید باشه میگم بدون تعصب. سخت افزار نا امید کننده برای گیمرها و کسایی که خیلی سریع کار میکنن با گوشی. تاچ خیلی بد حسگر اثر انگشت بد و کیفیت صفحه نمیاش معمولی دوربین عالی واقعا حرف نداره فوق الاده زیبا خوش دست باتری عالی و اسپیکر شفاف هر نگاهی رو مجذوب خودش میکنه خلاصه یجورای کلاس داره ,"باتری, کلاس, خوش دست, حسگر اثر انگشت, تاچ, سخت افزار, صفحه نمیاش, اسپیکر, دوربین","positive, positive, positive, negative, negative, negative, neutral, positive, positive","['گوشی: Positive', 'سخت افزار: Negative', 'تچ: Negative', 'هشگر اثر انگشت: Negative', 'کیفیت صفحه: Neutral', 'دوربین: Positive', 'باتری: Positive', 'اسپیکر: Positive']"
این گوشی رو من اسفند ۹۵ گرفتم و الان ۹ ماه میشه دارمش داغ نمیکنه و سرعت دانلودش عالیه درمجموع با توجه به قیمتش خوبه ,"گوشی, سرعت, قیمتش","positive, positive, positive","['گوشی: Good', 'قیمت: Neutral']"
این گوشی رو من حدود ۴ ماهه که دارم و خیلی ازش راضیم هم سیستم عاملش فوق العادس و دوربینش هم خیلی خوبه من خودم s۷ داشتم ولی این یه چیز دیگست فوق العادست فقط otg این گوشی کمه اگر میخواید یک گوشی خوب و کارکن رو بخرید و تا حدود ۱ میلیون تومن هزینه کنید پول هاتون رو جمع کنید و این گوشی فوق العاده رو بخرید این گوشی عالیه ,"این گوشی, دوربینش, سیستم عاملش, otg این گوشی, s۷","positive, positive, positive, negative, negative","['سistem عاملش: Positive', 'دوربینش: Positive', 'otg: Negative']"
این گوشی رو من دو ماه پیش از فروشگاه چهارسو خریدم واقعا عالیه در رنج خودش الانم یکی برا دوستم از دیجی کالا سفارش دادم اگه دنبال یه گوشی با قیمت متوسط و بدون دردسر هستید حتما اینو بگیرید که پشیمون نمیشید ,قیمت,neutral,"['گوشی: Positive', 'قیمت متوسط: Positive', 'بدون دردسر: Positive']"
این گوشی رو من چند وقت دارم عالیه سلفیش مشکل نداره برای من که عالیه مگر اینکه برای ۲۰۱۶ باشه من گوشی اچ تی سی هم داشتم خیلی زود از بازار خارج می شه و اصلا طراحی خوبی نسبت به گوشی های هوشمند جدید نداره و زود از رده خارج می شه برای کسانی که عادت استفاده از اپل رو دارند حتما این گوشی رو پیشنهاد می کنم عالیه ,"اچ تی سی, این گوشی","negative, positive","['گوشی: Positive', 'سلفیش: Neutral', 'طراحی: Negative', 'قیمت: Not mentioned']"
این گوشی رو من ۱ ساله تقریبا دارم و تا حالا تعمیر نبردمش ازش راضیم و بعضی موقع ها منو شگفت زده کرده یه بار از دستم افتاد و از فاصله۱۰ متر به پایین افتاد با گارد هیچ اتفاقی براش نیوفتاد ویه بار هم تو استخر بردمش و داخل اب باهام بود و انگار نه انگار داخل اب باهاش کار میکردم در کل گوشیه خوبیه هر کی بخره پشیمون نمیشه فقط ساخت ویتنام باشه پشت خود گوشی نوشته مرسی ,این گوشی,positive,"['گوشی: Positive', 'ساخت ویتنام: Neutral', 'قیمت: Not mentioned']"
این گوشی رو هشت ماهه که خریدم. حتی یه بار هم هنگ نکرده. من گوشی زیاد عوض میکنم و برندهای مختلفی رو داشتم. به جرات میگم که این گوشی از رده بالاتر های برندای دیگه سرتره. شارژ دهی عالی سرعت عالی. از وقتی اندروید هفت اومده فوق العاده شده اصلا انگار یه گوشی دیگه شده. حتما بگیرید اگه قصد خرید دارین پشیمون نمیشین. این گوشی همه ی نیازهایی که از یه گوشی هوشمند داشتم برآورده کرده ,"شارژ دهی, سرعت","positive, positive","['گوشی: Positive', 'قابل شارژ: Excellent', 'اندروید: Positive', '性能: Excellent']"
این گوشی رو چند ماهه که از دیجی با تخفیف خوب گرفتم و واقعا راضیم گوشی خیلی سبک و خوش دسته و بر خلاف عکسش وقتی تو دست میگیرید متوجه میشید قاب پشتی پلاستیک بافتی هست و زیبایی و کیفیت خوبی داره و به هیچ وحه از دست لیز نمیخوره و خش بر نمیداره سخت افزار خیلی خوبی داره و ناامیدتون نمیکنه و از پس تقریبا تمام بازیهای گرافیکی و دیتا دار بر میاد فقط فقط فقط که حافظه داخلی یاری نمیکنه واقعا حیف دوربین اصلی متوسط ولی تو نور روز خوب عمل میکنه و سلفی خیلی خوبه داره ولی فیلم برداریش به هیچ وجه نمیشه فول اچ دی اسمشو گذاشت باتری کمی ضعیفه و تقریبا با ۳ ساعت تماشای فیلم و دو ساعت بازی تموم میشه ولی در کل بد نیست و با استفاده معقول میتونید ۲۴ روش حساب باز کنید در کل میتونم بگم این میان رده ال جی از همه لحاظ راضیتون میکنه و نسبت به پولی که میدید واقعا ارزش داره ,"باتری, دوربین اصلی","negative, neutral","['گوشی: Positive', 'سبک و خوش دسته: Positive', 'قاب پشتی پلاستیک بافتی: Neutral', 'سخت افزار: Positive', 'بر خلاف عکسش وقتی تو دست میگیرید متوجه میشید: Neutral', 'دوربین اصلی: Neutral', 'سلفی: Positive', 'فیلم برداری: Negative', 'باتری: Negative']"
این گوشی رو چند هفته خریدم همه چیزش خوبه غیر از باتری که انتظار بیشتر داشتم ازش. جای بلند گو خیلی خیلی بده. داغ میکنه. به نظر من تنها خوبیش سرعت بالای اثر انگشت و فست شارژ ,باتری,negative,"['گوشی: Negative', 'باتری: Negative', 'جای بلند گو: Negative']"
این گوشی رو چهارماه هست که دارم مشکلاتش حافظهی داخلی کم بعد یه مدت کمی کند میشه زمانی که زیاد داغ کنه عملکرد تاچ بخصوص دکمههای لمسی back و recent که پایین گوشی هستن بهم میریزه اینترنت گوشی بد نیس در حد متوسط باطریش عالیه … بدنه محکم و کیفیت ساخت خوبی داره من پشیمون شدم از خرید در کل تو این رنج قیمت برید سراغ شیائومی و زد تی ای و … بهتره بجز هواوی و اچ تی سی ,"اینترنت گوشی, باطریش","neutral, positive","['گوشی: Negative', 'حافظه داخلی: Negative', 'عملکرد تاچ: Negative', 'دکمههای لمسی back و recent: Negative', 'اینترنت گوشی: Negative', 'باتریش عالیه: Positive', 'بدنه محکم: Positive', 'کیفیت ساخت: Positive']"
این گوشی رو ۱ ماهه دارم کیفیت صفحش واقعا نا امیدم کرد کافی بزارید کناره یا ایفون ۶ زرد بودن صفحه کم رنگی واقعا خوب نیست باتریش کافیه عکس یا فیلم بگیری درجا خالی میکنه خوشدستی و ارزشمند بودن مارک و دوربین متوسطش دیگر خصوصیاتشه ,"باتریش, دوربین","negative, neutral","['گوشی: Negative', 'صفحش: Negative', 'باتریش: Neutral']"
این گوشی رو ۱ماهی هست که دارم از نظر باتری و شارژ سریع که برای من مهم ترین قسمت یه گوشی هست عالیه اگه توی مصرف باتری مدیریت کنید تا ۲روز به راحتی جواب میده، تنها نقطه ضعفی که دیدم حسگر اثر انگشت هست که بعضی مواقع تشخیص نمیده همچنین رنگ سفید در نمایشگر در مقایسه با گوشی هواوی P۱۰ plus به کرم رنگی میزنه و اون شفافیت و سفیدی رو نداره ,"این گوشی, گوشی هواوی P۱۰ plus, باتری, حسگر اثر انگشت, نمایشگر","positive, positive, positive, negative, negative","['گوشی: Neutral', 'باتری: Positive', 'شارژ سریع: Positive', 'مصرف باتری: Positive', 'هشگر اثر انگشت: Negative', 'رنگ سفید: Negative']"
این گوشی رو ۳ هفته است گرفتم. متاسفانه تاچ ضعیفی داره و هر چی رو باید دو سه بار بزنی تا انجام بده و باطریش زود خالی میشه. ,"تاچ, باطریش","negative, negative","['گوشی: Negative', 'تچ: Negative', 'باطری: Negative']"
این گوشی رو ۴ ماهه خریدم ولی ایکاش نمیخریدم آنتن دهی داخل ساختمان افتضاحه. تو گوشی قبلی بازی آسفالت و گنگستر وگاس رو راحت و روان بازی نیکردم ولی این گوشی همش لگ داره و گیر میکنه دکمه برگشت مشکل داره با ید چند بار بزنی تا عمل کنه یه مموری کارت ۱۲۸ گیگ رو هم این گوشی سوخت در کل دلم نمیخواد شما هم اشتباه منو تکرار کنید ,آنتن دهی,negative,"['گوشی: Negative', 'آنتن دهی: Negative', 'بازی: Negative', 'دکمه برگشت: Negative', 'مموری کارت: Neutral']"
این گوشی رو ۵ ماهه که دارم. همه چیزش عالیه …تو خریدش شک نکنید ,این گوشی,positive,['گوشی: Positive']
این گوشی سامسونگ A۷ جز بهترین گوشی های سامسونگ هس من این گوشی را ۷ ماهه که دارم واقعا ازش راضی ام اندرویدش هفت هس رامش ۳ دوریین اینا کفتشون خیله خوبه گوشی عالی هس خیله قشنگ و زیبا هس این گوشی من میگم این گوشی رو بخرین این گوشی خیلی خوبه ,این گوشی سامسونگ A۷,positive,"['گوشی سامسونگ A۷: Positive', 'اندروید: Positive', 'قیمت: Neutral']"
این گوشی شدیدا پیشنهاد میشه اما بزرگترین مشکلش به نظر باتریشه واقعا صد حیف در همچی گوشی باتری لیتیم یون منسوخ شده اونم با این قدرت کم بزاری وگرنه همه چیش عالیه یو اس بی تایپ سی هم داره ,باتریشه,negative,"['گوشی: Positive', 'باتری: Negative']"
این گوشی صفحه نمایش ضعیفی نداره چرا که تراکم پیکسلی ۴۰۱ رو داره فقط صفحه نمایش اون lcd هست و دنیایی با led متفاوت هست در کل با توجه به قیمتش گوشی مناسبیه ,"گوشی, صفحه نمایش","positive, positive","'گوشی صفحه نمایش: Neutral', 'تراکم پیکسلی ۴۰۱: Positive', 'صفحه نمایش LCD: Positive'"
این گوشی ظاهر و زیبا و کیفیت عالی در ساخت، کیفیت صدای خوب و خوش دست، حافظه داخلی مناسب و RAM مناسبی را داراست. درسته که CPU مناسبی تو این گوشی به کار برده نشده ولی با توجه به RAM ۴ میشه خیلی از نقطه ضعفاشو پوشوند. دوربینشم کیفیت فوق العاده ای نداره ولی رضایت بخشه و در حده یه گوشی میان رده قوی هست. باتریشم اگه کارای عادی روزانه رو باهاش انجام بدید ۲ روزو دوام میاره ولی اگه بخواید باهاش زیاد کار کنید و بازی کنید. هر روز باید شارژ بزنید. صفحه نمایششم کیفیت مناسبی داره. در کل ارزش خرید داره. ,این گوشی,positive,"['ظاهر و زیبا: Positive', 'کیفیت صدای خوب و خوش دست: Positive', 'حافظه داخلی مناسب و RAM مناسبی: Positive', 'CPU مناسبی: Neutral', 'دوربین: Neutral', 'باتری: Neutral', 'صفحه نمایش: Positive']"
این گوشی عالی آنقدر سونی قوی که شما فراموش کردید این گوشی از میانرده هم پایینتره Xa اش باید بری با J۷ ۱۶ مقایسه کنی نه با s۷ ,گوشی,positive,"['گوشی: Positive', 'سونی قوی: Positive', 'XM': Neutral, 'J۷ ۱۶': Comparative (positive), 's۷': Comparative (negative)]"
این گوشی عالیه ,"این گوشی, گوشی","positive, positive",['گوشی: Positive']
این گوشی عالیه شک نکنین ,گوشی,positive,['گوشی: Positive']
این گوشی عالیه عالیی ,گوشی,positive,['گوشی: Positive']
این گوشی عالیه فقط اگر دکمه روشن خاموشش بغل گوشی بود بهتر بود ,"گوشی, دکمه","positive, neutral","گوشی: Negative
دکمه: Neutral"
این گوشی عالیه فقط اگر دکمه روشن خاموشش گوشی بغل بود بهتر بود ,دکمه روشن خاموشش گوشی,neutral,"['گوشی: Positive', 'دکمه روشن خاموشش: Suggestive (implying improvement)']"
این گوشی عالیه من الان شیش ماهه ک این گوشیو دارم حتی یکبار هم هنگ نکرده زیبایی فوق العاده ای داره کیفیت صفحه نمایشش خیلی خوبه فقط تنها ایرادی ک میشه ازش گرفت دوربینشه مخصوصا دوربین سلفی ک وقتی عکس میگیری نباید دستت بلرزه اونم به خاطر نداشتن لرزشگیر اپتیکاله ,"این گوشی, کیفیت صفحه نمایشش, دوربین سلفی","positive, positive, negative","['گوشی: Positive', 'صفحه نمایش: Positive', 'قیمت: Neutral']"
این گوشی عالیه هرکی میخواد من میفروشم یه ماهه خریدم ,گوشی,positive,"'گوشی: Positive', 'خریدم: Neutral'"
این گوشی عالیه و رو دست نداره تو این رنج قیمت و به همه کسایی که شک دارن تو خرید پیشنهاد میکنم بخرن. و در مورد صفحه نمایشم بگم که LCD از نوع TFT نیست اشتباه نکنید این السیدی از نوع IPS است و توی سایت های رسمی هم نوشته. صفحه نمایش TFT اصلا نمیشه از کنار بهش نگاه کرد و از کنار هیچی معلوم نیست. پس اشتباه نکنید. هرکی موافقه like ,"قیمت, گوشی, صفحه نمایشم","positive, positive, positive","['گوشی: Positive', 'صفحه نمایش: Positive']"
این گوشی عالیه یک ماه که این گوشیو دارم هیچ نقطه ضعفی توش ندیدم در خریدش اصلا شک نکنین ,گوشی,positive,"'گوشی: Positive', 'هیچ نقطه ضعفی توش ندیدم: Neutral'"
این گوشی فوق العاده است من یه ماه دارمش دوربینش عالیه فقط دوربین جلوش اونم نه خیلی ولی یکم تار میندازه ضد آب بودنم واقعا عالیه من خودم به شخصه چندین بار بااین گوشی تو استخر از خودم و دوستام عکس و فیلم گرفتم کیفیتش صفحه واقعا محشره اینترنتشم که حرف نداره باتری هم یه روز بر میداره گذشته از اینا طراحی گوشی عالیه یعنی وقتی دستت میگیری حس خیلی خوبی بهت دست میده و دیگه اینکه سامسونگ نسبت به هر گوشی متفرقه ای که دوستان معرفی میکننداز شیامی و …برتری داره ,"کیفیتش صفحه, طراحی گوشی, این گوشی, سامسونگ, دوربینش, دوربین جلوش, باتری","positive, positive, positive, positive, positive, negative, positive","'گوشی: Positive', 'دوربین: Positive', 'دورنمای جلوی گوشی: Neutral', 'مقاومت به آب: Positive', 'صفحه نمایش: Positive', 'اینترنت: Positive', 'باتری: Positive', 'طراحی: Positive', 'هندسگی: Positive'"
این گوشی فوق العاده ست و من خیلی سخت پسند هستم. من آیفون رو به این گوشی ترجیح دادم و هنوز هم پشیمون نیستم بلکه خیلی از انتخابم راضی هستم. مخصوصا این که طراحی بسیار جذابی داره و تا الآن هیچوقت هنگ نکرده و پردازنده گرافیکی فوق العاده ای داره. اگه دنبال گوشی بی عیب و نقص در کارایی میگردید این بهترین انتخابه. ,"این گوشی, طراحی, آیفون, پردازنده گرافیکی","positive, positive, negative, positive","['گوشی: Positive', 'طراحی: Positive', 'پردازنده گرافیکی: Positive']"
این گوشی فوق العاده هس تو قیمت خودش البته اندروید ک ۶ بود ضعف داشت الان ی دو روزه اپدیت نوقا اومده براش تمام باگ حتی تو کند بودن اثرانگشت خوب شده سرعتش واقعا بالاش رفته من این مبایل هدیه خریدم واقعا خوبه تا الان هیچ مشکلی نداشت باتری عالی یعنی خیلی خوب داره دیر شارژ میشه و دیر خالی میشه ,"گوشی, باتری, اثرانگشت, سرعتش","positive, positive, positive, positive","['موبایل: Positive', 'اندروید ۶: Neutral', 'اپدیت نوقا: Positive', 'کند بودن اثرانگشت: Positive', 'سرعتش: Positive', 'باتری: Positive']"
این گوشی قیمت فعلی با حدود آن یک خرید مناسب است. بعضی ها را اگر بنز هم بدین دستشون یکماه پرایدش کردن. گوشی مواظبت میخواهد، مگه میشه از گوشی به اندازه یک لپ تاپ کار کشید ولی مشکل باتری و صفحه نمایش و … پیدا نکنه اسباب بازی که نیست ,گوشی قیمت فعلی,positive,"['قیمت فعلی: Neutral', 'باتن: Neutral', 'موبایل: Neutral', 'موجبیت: Neutral', 'صفحه نمایش: Neutral', 'باتری: Negative']"
این گوشی نسبت به قیمت فوق العادهاش کاراییها و امکانات بی نظیری دارد و از بسیاری از گوشیهای هم زدهی خود نظیر j۵ prime & j۷ ۲۰۱۶& a۵۲۰۱۶و …عملکرد سخت افزاری و نرم افزاری به مراتب بهتری ارائه میکند حسگر اثر انگشت در این مدل سرعت چشم گیری دارد و قابلیت هایی همچون عکس گرفتن و فیلم برداری پاسخ و رد کردن تماس احضار پانل اعلان و …را برای کاربر فراهم میاورد صفحه نمایش تراکم خوبی داشته و به دلیل تکنولوژی ips روشنایی کمی دارد و نسبت به amo led نور و غلظت رنگ کمتری دارد سی پیو در این مدل و در این قیمت عالی عمل کرده و توانایی اجرای سنگینترین بازیها و باز نگه داشتن حتی چندین برنامه را داراست دوربین این گوشی در عقب کیفیت قابل قبول ودر جلو کیفیت متوسط به بالا را داراست و دارای فلاش صفحه میباشد بدنه گوشی نسبت به گوشیهای تمام فلز جذابیت و لذت خوش دستی کمتری دارد ولی شیک و امروزی است کیفیت صدا قابل قبول بوده و از گوشیهای دیگر هواوی در این رنج قیمت بهتر است باتری ظرفیت قابل قبولی داراست اما کشش صفحهی fhd و سی پی یو ۸ هستهای را به کمی سختی تحمل میکند در نهایت این گوشی بهترین در قیمت خود و حتی بالاتر از ان است ,ودر جلو,neutral,"['گوشی: Excellent',
'عملکرد سخت افزاری و نرم افزاری: Positive',
'حسگر اثر انگشت: Positive',
'قابلیت عکس گرفتن و فیلم برداری: Positive',
'صفحه نمایش: Neutral',
'نور و رنگ: Neutral',
'سی پی یو: Positive',
'دوربین عقب: Acceptable',
'دوربین جلو: Medium-High',
'فلاش صفحه: Present',
'بدنه گوشی: Slightly Less Attractive',
'قیمت صدا: Acceptable',
'باتری: Average']"
این گوشی نسبت به قیمتش گوشی فوق العاده ای هست کیفیت دوربینش عالیه با فوکوس عالی بازی ها وبرنامه های سنگین رو هم بالا میاره حس گر اثر انگشت هم از امکانات جدید نسل سریj هست که به این گوشی اضافه شده درضمن اندرویدش هم میتونیم به نسخه۷ارتقا بدیم در کل این گوشی فوق العاده ومحشره پس درخریدش شک نکنید ,"دوربینش, گوشی, حس گر اثر انگشت","positive, positive, neutral","['گوشی: Positive', 'کیفیت دوربینش: Positive', 'فوکوس عالی: Positive', 'بازی ها وبرنامه های سنگین: Positive', 'هس گر اثر انگشت: Positive', 'اندرویدش: Positive']"
این گوشی نمی ارزه نخرید این گوشی رو نخرید بازی رو اجرا نمی کنه هنگ زیاد می کنه خیلی کنده ادم رو سکته می ده و اخرش هم میسوزه میره پس کارش ,این گوشی,negative,"[گوشی: Negative]
[بازی رو اجرا نمی کنه: Negative]
[هنگ زیاد می کنه: Negative]
[میشه سکته می ده و ادم رو سکته می ده: Negative]
[کارش: Negative]"
این گوشی هرچقدرم خوب باشه که نسبت به قیمت خوب نیست ولی صفحش افتضاح دوستانی که میخوان بخرم خواهش میکنم حتما قبلش برن پاساژ با این گوشی کار کنن مطمئن باشید ال سی دیشو ببینید منصرف میشید من به عنوان یه تعمیر کار موبایل اصلا این گوشی رو پیشنهاد نمیکنم و خدا شاهد طرفدار هیچ برندی نیستم و به نظر همه احترام میزارم ولی از انصاف نگذریم برید گوشی هوآوی پی ده لایت ببینید با یه اختلاف قیمت کم ولی زمین تا آسمون از این گوشی قدرتمندتره. یاعلی ,"قیمت, صفحش","negative, negative","['گوشی: Negative', 'صفحات: Negative', 'EL دیشو: Neutral', 'قیمت: Negative', 'دوربین: Positive']"
این گوشی هم خوش دسته هم کار راه میندازه تو یه کلام عالیه ,گوشی,positive,"'گوشی: Positive', 'خوش دسته: Positive', 'کار راه: Positive'"
این گوشی هم دوربین عقب و هم دوربین جلوش ۱۶مگاپیکسله که باور نکردنیه وحتا از s۸هم بهتره کیفیت صفحه نمایشش هم حرف نداره و عالی هست من این گوشی رو برای خرید پیشنهاد میکنم ,"کیفیت صفحه نمایشش, دوربین عقب, این گوشی, دوربین جلوش","positive, positive, positive, positive","['گوشی: Positive', 'دوربین عقب و دوربین جلوش: Positive', 'کیفیت صفحه نمایشش: Positive', 'باتری: Negative']"
این گوشی هم مزایایی داره هم معایبی اولین مزیتش باطری قدرتمند۳۳۰۰هستش که تحت هیچ شرایطی داغ نمیکنه و تحت سختترین کارها شامل بازی و اینترنت یک روز کامل رو دوام میاره برا استفاده متوسط هم دو روز صفحه نمایش بسیار عالی و شفاف که زیر نور افتاب هم کارایی خودش رو داره تحت هیچ شرایطی گوشی هنگ نمیکنه دوربین عقب هم تو این رنج خوبه اما معایبش یکیش طراحی بدنهاش هستش که وقتی دست میگیری زیاد باهاش راحت نیستی دوم وجود نداشتن چراغ پشت دو تا دکمه لمسی خازنی پایین گوشیه که تو مکان تاریک اذیت میکنه سوم اسپیکر گوشی جای خوبی تعبیه نشده و صداش ضعیفه ولی در کل گوشیه خوبیه تو این رنج قیمت من خودم ۷ ماهه دارمش و ازش راضیم تو خریدش شک نکنید ,اسپیکر گوشی,negative,"['گوشی: Good', 'باطری: Positive', 'صفحه نمایش: Positive', 'دوربین عقب: Positive', 'طراحی بدنهاش: Negative', 'چراغ پشت: Negative', 'دکمه لمسی خازنی: Negative', 'اسپیکر گوشی: Negative']"
این گوشی همه چیزش عالیه در سطح گوشی های بالا رده. فقط دو نکته من اشاره کنم. اینکه بعضی افراد میگویند که صفحه tft بدرد نمیخوره به هیچ عنوان صفحه اش بد نیست خیلی هم خوبه tft از نوع ips است یعنی tft درجه یک. ثانیا اثر اثر انگشتش هم در کمترین زمان ممکن باز میکنه و خیلی هم دقیق است که بازم بعضی افراد ازش بد تعریف میکردند. پبشنهاد میکنم حتما بخرید. ,"گوشی, اثر انگشتش, صفحه اش","positive, positive, positive","['گوشی: Positive', 'صفحه tft: Positive', 'اثر انگشتش: Positive']"
این گوشی هنوز در دیجی کالا موجود نشده اما هم اکنون در بعضی از فروشگاههای اینترنتی با قیمت هایی عرضه میشه که ابدا منطقی نیست پردازنده برای امروز متوسط محسوب میشود و دوربین هم همینطور ضمن اینکه لرزش گیر هم ندارد ,"پردازنده, دوربین","neutral, neutral","['گوشی: Negative', 'پردازنده: Negative', 'دوربین: Negative', 'لرزش گیر: Negative']"
این گوشی واسه کسایی که دنبال عکاسی و فیلم برداری با گوشی هستن شاید خیلی ارضا کننده نباشه ولی واسه کسایی که دنبال یه گوشی با باطری عالی هستن واقعا راضی کنندست. از لحاظ ظاهری هم خوبه و تقریبا خوش دسته و اینکه میگن سنگینه واسه یه گوشی با این ابعاد خیلی هم وزنش وحشتناک بالا نیست. در کل من از خریدم تا اینجا که حدود یک ماهه راضیم. ,"باطری, این گوشی, ظاهری","positive, positive, positive","['گوشی: Negative', 'باتری: Positive', 'ظاهری: Positive', 'وزن: Neutral']"
این گوشی واقعا بی نظیره در این قیمت بهترین گوشی بازاره شارژ دهی عالی عکس فوق العاده صدا حرف نداره پردازش بی نظیر بدون هنگ کردن من ۴ ماهه دارم واقعا بینظیره مثل اسب ازش کار میکشم شک نکنید ک بی نظیره در این رنج قیمت ,"صدا, شارژ دهی, قیمت, پردازش, گوشی","positive, positive, positive, positive, positive","['سختی شارژ: Positive', 'عکس: Positive', 'صدا: Positive', 'پردازش: Positive', 'بدون هنگ کردن: Positive']"
این گوشی واقعا عالیه و راضی هستم. ,این گوشی,positive,['گوشی: Positive']
این گوشی واقعا عالیه و من از نظر دوربین و دیگر امکانات واقعا داضیم ,"دوربین, این گوشی","positive, positive","'گوشی: Positive', 'دوربین: Positive', 'امکانات: Positive'"
این گوشی واقعا عالیه. هم از نظر کیفیت وهم از نظر سرعت. فقط کار با صفحه کلید فارسی سخت هست … ,صفحه کلید فارسی,negative,"['گوشی: Positive', 'کیفیت: Positive', 'سرعت: Positive', 'صفحه کلید فارسی: Negative']"
این گوشی واقعا گوشی خیلی عالی و پر کاربردی هست و از سامسونگ هم بهتره و اگه قصد خرید دارید بدون شک و تردید بخریدش. ,سامسونگ,negative,['گوشی: Positive']
این گوشی واقعابه درد نخوره. تنها چیزخوب اینک یه بار توی رودخونه عمیق افتاد ولی نسوخت ,این گوشی,negative,"['گوشی: Negative', 'باتری: Neutral']"
این گوشی وقتی وارد بازار شد من ۳ روز بعد خریدمش چون میدونستم ال جی گوشی بدی نمیزنه، واقعا هم همینطور شد، اندروید به روز، سخت افزار قوی، دوربین های خوب (البته تو نور کم نویز داره) و باتری قوی چیزایی بود که من دوست داشتم، تنها نقطه ضعفش صفحه نمایشش هست که اونم نسبت به اکثر گوشیای میان رده شرکت های دیگه بهتره ولی در حد ال جی نیست … ,"صفحه نمایشش, گوشیای میان رده شرکت های دیگه","negative, negative","['گوشی: Neutral', 'اندروید: Positive', 'سخت افزار: Positive', 'دوربین: Positive', 'باتری قوی: Positive', 'صفحه نمایش: Neutral']"
این گوشی چند روز پیش از دیجی کالا رسید دستم واقعا گوشی خوبیه نسبت به قیمتش ,"این گوشی, دیجی کالا","positive, neutral",['گوشی: Positive']
این گوشی چیزی برای رقابت با هم رده هاش نداره و بعضی از افراد که اطلاعی ندارن از سخت افزار گوشی میگن قویه در صورتی که گرافیک خیلی ضعیفی داره و در بنچمارکها امتیاز بسیار پایینی گرفته من واقعا نمیدونم سامسونگ چرا رم ۳ گذاشته برا این گوشی با این سخت افزار دوربینش هم قوی نیست نمیگم ضعیفه کیفیت ساختش هم عالی نیس ولی خوبه بلندگوهاش هم متوسطه این گوشی برا کسایی که به قدرت سخت افزاری نیاز دارن پیشنهاد نمیشه و در اخر پیشنهاد میکنم به mi۵ شیائومی نگاهی بندازین ,"mi۵ شیائومی, کیفیت ساختش, دوربینش, گرافیک, این گوشی, سامسونگ, بلندگوهاش","positive, positive, negative, negative, negative, negative, neutral","['گوشی: Negative', 'سخت افزار گوشی: Negative', 'گرافیک: Negative', 'رام: Negative', 'دوربین: Negative', 'کیفیت ساخت: Neutral', 'بلندگوها: Medium']"
